+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used | Partitions State | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|             0 |           0 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
|             0 |          10 | -1,-1,-1,15,-1,-1 |                90 |                 90 | 
|             0 |           1 | -1,-1,-1,15,-1,12 |                89 |                 88 | 
|             0 |          10 | -1,-1,1,15,-1,12 |                79 |                 73 | 
|             5 |           1 |  -1,-1,1,15,2,12 |                78 |                 65 | 
|            14 |           7 |   -1,3,1,15,2,12 |                71 |                 40 | 
|            47 |           1 |  -1,3,1,15,-1,12 |                72 |                 48 | 
|            85 |           7 | -1,-1,1,15,-1,12 |                79 |                 73 | 
|           172 |           1 | -1,-1,1,15,-1,-1 |                80 |                 75 | 
|           197 |          10 | -1,-1,-1,15,-1,-1 |                90 |                 90 | 
|           200 |          10 | -1,-1,-1,-1,-1,-1 |               100 |                100 | 
+------------------------------------------------------------------------------------------+
